,country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014,f1524,f2534,f3544,f4554,f5564,f65,fu
127,MY,2000,32.0,694.0,1138.0,1177.0,908.0,814.0,891.0,,41.0,464.0,564.0,424.0,367.0,356.0,286.0,
128,MZ,2000,,,,,,,,,,,,,,,,
129,,2000,18.0,269.0,874.0,665.0,300.0,147.0,81.0,,16.0,352.0,654.0,348.0,161.0,76.0,52.0,
130,NC,2000,1.0,1.0,3.0,4.0,2.0,3.0,4.0,,1.0,8.0,1.0,1.0,3.0,2.0,4.0,
131,NE,2000,29.0,270.0,174.0,441.0,252.0,151.0,78.0,,31.0,123.0,206.0,168.0,151.0,63.0,9.0,
132,NG,2000,157.0,2173.0,3164.0,1836.0,1091.0,566.0,463.0,,239.0,2934.0,2434.0,1110.0,676.0,344.0,231.0,
133,NI,2000,18.0,194.0,174.0,147.0,108.0,64.0,90.0,,34.0,188.0,173.0,98.0,76.0,46.0,61.0,
134,NL,2000,0.0,34.0,63.0,41.0,25.0,10.0,21.0,,4.0,29.0,22.0,16.0,9.0,5.0,10.0,
135,NO,2000,0.0,1.0,9.0,3.0,6.0,2.0,4.0,,1.0,3.0,1.0,,,2.0,5.0,
136,NP,2000,170.0,1904.0,1763.0,1713.0,1491.0,1294.0,772.0,,176.0,1267.0,1078.0,833.0,575.0,419.0,228.0,
137,NR,2000,,,,,1.0,,,,,,,,1.0,1.0,,
138,NU,2000,,,,,,,,,,,,,,,,
139,NZ,2000,0.0,6.0,5.0,6.0,8.0,10.0,7.0,,1.0,6.0,6.0,5.0,0.0,4.0,10.0,
140,OM,2000,1.0,8.0,9.0,11.0,12.0,9.0,11.0,,2.0,17.0,5.0,7.0,5.0,11.0,6.0,
141,PA,2000,3.0,44.0,78.0,61.0,37.0,27.0,26.0,,6.0,43.0,34.0,35.0,19.0,12.0,16.0,
142,PE,2000,552.0,5290.0,2875.0,1546.0,1041.0,801.0,796.0,,633.0,3686.0,2472.0,1156.0,609.0,499.0,624.0,
143,PF,2000,1.0,3.0,3.0,4.0,4.0,4.0,3.0,,1.0,4.0,1.0,0.0,1.0,0.0,0.0,
144,PG,2000,8.0,87.0,70.0,30.0,21.0,12.0,5.0,,6.0,77.0,45.0,21.0,15.0,5.0,1.0,
145,PH,2000,,,,,,,,,,,,,,,,
146,PK,2000,55.0,498.0,387.0,256.0,232.0,153.0,130.0,,130.0,591.0,416.0,274.0,163.0,103.0,56.0,
147,PL,2000,1.0,99.0,303.0,812.0,782.0,361.0,434.0,,1.0,99.0,158.0,211.0,170.0,82.0,421.0,
148,PR,2000,0.0,1.0,4.0,19.0,9.0,10.0,14.0,,1.0,4.0,5.0,3.0,7.0,1.0,3.0,
149,PS,2000,,,,,,,,,,,,,,,,
150,PT,2000,8.0,147.0,375.0,349.0,208.0,140.0,140.0,,5.0,114.0,154.0,87.0,41.0,25.0,64.0,
151,PY,2000,16.0,112.0,103.0,105.0,86.0,80.0,71.0,,12.0,69.0,86.0,41.0,41.0,30.0,46.0,
152,QA,2000,0.0,7.0,19.0,9.0,7.0,2.0,1.0,,0.0,0.0,4.0,3.0,1.0,0.0,0.0,
153,RO,2000,46.0,832.0,1508.0,1799.0,1684.0,916.0,533.0,,53.0,701.0,766.0,484.0,341.0,207.0,321.0,
154,RU,2000,1.0,295.0,526.0,596.0,402.0,151.0,54.0,,1.0,43.0,73.0,74.0,38.0,31.0,44.0,
155,RW,2000,155.0,466.0,974.0,824.0,393.0,129.0,56.0,,105.0,396.0,473.0,309.0,109.0,52.0,14.0,
156,SA,2000,0.0,131.0,268.0,213.0,158.0,86.0,107.0,,28.0,172.0,182.0,79.0,51.0,50.0,70.0,
157,SB,2000,3.0,13.0,4.0,8.0,8.0,10.0,6.0,,8.0,15.0,13.0,7.0,7.0,5.0,2.0,
158,SC,2000,,,2.0,4.0,1.0,1.0,,,,,1.0,0.0,1.0,1.0,,
159,SD,2000,785.0,1028.0,1511.0,1351.0,1119.0,638.0,677.0,,817.0,925.0,1134.0,905.0,771.0,327.0,323.0,
160,SE,2000,0.0,9.0,10.0,12.0,11.0,4.0,25.0,,1.0,9.0,8.0,10.0,2.0,2.0,15.0,
161,SG,2000,1.0,8.0,9.0,34.0,51.0,26.0,64.0,,1.0,9.0,8.0,7.0,9.0,5.0,16.0,
162,SI,2000,0.0,3.0,11.0,36.0,22.0,14.0,17.0,,0.0,3.0,9.0,3.0,4.0,3.0,20.0,
163,SK,2000,2.0,6.0,15.0,31.0,50.0,16.0,32.0,,0.0,5.0,9.0,7.0,5.0,4.0,54.0,
164,SL,2000,18.0,287.0,486.0,361.0,190.0,113.0,47.0,,27.0,249.0,298.0,225.0,92.0,49.0,30.0,
165,SM,2000,,,,,,,1.0,,,,,,,,,
166,SN,2000,60.0,772.0,1297.0,857.0,470.0,279.0,189.0,,77.0,521.0,540.0,376.0,217.0,107.0,61.0,
167,SO,2000,113.0,740.0,724.0,408.0,254.0,195.0,142.0,,85.0,354.0,319.0,219.0,110.0,72.0,41.0,
168,SR,2000,1.0,6.0,6.0,3.0,2.0,0.0,4.0,,2.0,3.0,6.0,3.0,0.0,1.0,1.0,
169,ST,2000,1.0,5.0,11.0,4.0,7.0,3.0,10.0,,3.0,7.0,15.0,5.0,7.0,4.0,15.0,
170,SV,2000,13.0,99.0,124.0,114.0,92.0,62.0,107.0,,28.0,81.0,76.0,63.0,63.0,39.0,47.0,
171,SY,2000,8.0,359.0,289.0,125.0,86.0,76.0,55.0,,23.0,195.0,101.0,53.0,46.0,38.0,28.0,
172,SZ,2000,11.0,130.0,352.0,249.0,138.0,37.0,17.0,,10.0,198.0,298.0,62.0,62.0,24.0,5.0,
173,TC,2000,,,,,,,,,,,,,,,,
174,TG,2000,4.0,101.0,168.0,144.0,109.0,48.0,39.0,,13.0,107.0,124.0,50.0,36.0,24.0,15.0,
175,TH,2000,27.0,859.0,2570.0,2380.0,2117.0,1908.0,2213.0,,32.0,624.0,1035.0,780.0,873.0,1016.0,1321.0,
176,TJ,2000,,,,,,,,,,,,,,,,
177,TK,2000,,,,,,,,,,,,,,,,
178,TM,2000,16.0,103.0,185.0,144.0,127.0,31.0,21.0,,19.0,73.0,140.0,76.0,31.0,34.0,17.0,
179,TN,2000,16.0,139.0,208.0,156.0,109.0,65.0,101.0,,7.0,68.0,59.0,43.0,21.0,21.0,58.0,
180,TO,2000,,2.0,1.0,1.0,,1.0,5.0,,,1.0,1.0,1.0,,1.0,1.0,
181,TR,2000,,,,,,,,,,,,,,,,
182,TT,2000,0.0,7.0,18.0,27.0,17.0,7.0,7.0,,0.0,5.0,7.0,9.0,5.0,2.0,4.0,
183,TV,2000,,,,,,,,,,,,,,,,
184,TZ,2000,200.0,2357.0,4836.0,3430.0,2022.0,1202.0,834.0,,257.0,2106.0,3426.0,1738.0,868.0,494.0,269.0,
185,UA,2000,21.0,693.0,1552.0,2385.0,2007.0,1062.0,532.0,,41.0,487.0,590.0,447.0,298.0,218.0,405.0,
186,UG,2000,283.0,1511.0,3497.0,2479.0,1279.0,607.0,395.0,,400.0,1649.0,2782.0,1510.0,671.0,316.0,163.0,
187,US,2000,6.0,365.0,602.0,906.0,904.0,577.0,738.0,,14.0,246.0,376.0,349.0,253.0,152.0,396.0,
188,UY,2000,0.0,36.0,48.0,45.0,41.0,30.0,34.0,,2.0,28.0,22.0,21.0,13.0,12.0,16.0,
189,UZ,2000,6.0,351.0,749.0,510.0,346.0,213.0,107.0,,11.0,261.0,547.0,288.0,213.0,112.0,111.0,
190,VC,2000,0.0,1.0,0.0,4.0,2.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
191,VE,2000,,,,,,,,,,,,,,,,
192,VG,2000,,,,,,1.0,,,,,,,,,,
193,VN,2000,51.0,2367.0,6147.0,8209.0,6713.0,5150.0,7712.0,,64.0,1334.0,2320.0,2754.0,2594.0,2847.0,4907.0,
194,VU,2000,2.0,7.0,5.0,1.0,10.0,5.0,2.0,,5.0,3.0,15.0,7.0,3.0,3.0,1.0,
195,WS,2000,0.0,3.0,1.0,1.0,1.0,2.0,1.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,
196,YE,2000,110.0,789.0,689.0,493.0,314.0,255.0,127.0,,161.0,799.0,627.0,517.0,345.0,247.0,92.0,
197,YU,2000,,,,,,,,,,,,,,,,
198,ZA,2000,116.0,723.0,1999.0,2135.0,1146.0,435.0,212.0,,122.0,1283.0,1716.0,933.0,423.0,167.0,80.0,
199,ZM,2000,349.0,2175.0,2610.0,3045.0,435.0,261.0,174.0,,150.0,932.0,1118.0,1305.0,186.0,112.0,75.0,
200,ZW,2000,,,,,,,,,,,,,,,,
