,Date,measurement,reading
188,1973-06-05,Solar.R,220.0
189,1973-06-06,Solar.R,264.0
190,1973-06-07,Solar.R,127.0
191,1973-06-08,Solar.R,273.0
192,1973-06-09,Solar.R,291.0
193,1973-06-10,Solar.R,323.0
194,1973-06-11,Solar.R,259.0
195,1973-06-12,Solar.R,250.0
196,1973-06-13,Solar.R,148.0
197,1973-06-14,Solar.R,332.0
198,1973-06-15,Solar.R,322.0
199,1973-06-16,Solar.R,191.0
200,1973-06-17,Solar.R,284.0
201,1973-06-18,Solar.R,37.0
202,1973-06-19,Solar.R,120.0
203,1973-06-20,Solar.R,137.0
204,1973-06-21,Solar.R,150.0
205,1973-06-22,Solar.R,59.0
206,1973-06-23,Solar.R,91.0
207,1973-06-24,Solar.R,250.0
208,1973-06-25,Solar.R,135.0
209,1973-06-26,Solar.R,127.0
210,1973-06-27,Solar.R,47.0
211,1973-06-28,Solar.R,98.0
212,1973-06-29,Solar.R,31.0
213,1973-06-30,Solar.R,138.0
214,1973-07-01,Solar.R,269.0
215,1973-07-02,Solar.R,248.0
216,1973-07-03,Solar.R,236.0
217,1973-07-04,Solar.R,101.0
218,1973-07-05,Solar.R,175.0
219,1973-07-06,Solar.R,314.0
220,1973-07-07,Solar.R,276.0
221,1973-07-08,Solar.R,267.0
222,1973-07-09,Solar.R,272.0
223,1973-07-10,Solar.R,175.0
224,1973-07-11,Solar.R,139.0
225,1973-07-12,Solar.R,264.0
226,1973-07-13,Solar.R,175.0
227,1973-07-14,Solar.R,291.0
228,1973-07-15,Solar.R,48.0
229,1973-07-16,Solar.R,260.0
230,1973-07-17,Solar.R,274.0
231,1973-07-18,Solar.R,285.0
232,1973-07-19,Solar.R,187.0
233,1973-07-20,Solar.R,220.0
234,1973-07-21,Solar.R,7.0
235,1973-07-22,Solar.R,258.0
236,1973-07-23,Solar.R,295.0
237,1973-07-24,Solar.R,294.0
238,1973-07-25,Solar.R,223.0
239,1973-07-26,Solar.R,81.0
240,1973-07-27,Solar.R,82.0
241,1973-07-28,Solar.R,213.0
242,1973-07-29,Solar.R,275.0
243,1973-07-30,Solar.R,253.0
244,1973-07-31,Solar.R,254.0
245,1973-08-01,Solar.R,83.0
246,1973-08-02,Solar.R,24.0
247,1973-08-03,Solar.R,77.0
248,1973-08-04,Solar.R,
249,1973-08-05,Solar.R,
250,1973-08-06,Solar.R,
251,1973-08-07,Solar.R,255.0
252,1973-08-08,Solar.R,229.0
253,1973-08-09,Solar.R,207.0
254,1973-08-10,Solar.R,222.0
255,1973-08-11,Solar.R,137.0
256,1973-08-12,Solar.R,192.0
257,1973-08-13,Solar.R,273.0
258,1973-08-14,Solar.R,157.0
259,1973-08-15,Solar.R,64.0
260,1973-08-16,Solar.R,71.0
261,1973-08-17,Solar.R,51.0
262,1973-08-18,Solar.R,115.0
263,1973-08-19,Solar.R,244.0
264,1973-08-20,Solar.R,190.0
265,1973-08-21,Solar.R,259.0
266,1973-08-22,Solar.R,36.0
267,1973-08-23,Solar.R,255.0
268,1973-08-24,Solar.R,212.0
269,1973-08-25,Solar.R,238.0
270,1973-08-26,Solar.R,215.0
271,1973-08-27,Solar.R,153.0
272,1973-08-28,Solar.R,203.0
273,1973-08-29,Solar.R,225.0
274,1973-08-30,Solar.R,237.0
275,1973-08-31,Solar.R,188.0
276,1973-09-01,Solar.R,167.0
277,1973-09-02,Solar.R,197.0
278,1973-09-03,Solar.R,183.0
279,1973-09-04,Solar.R,189.0
280,1973-09-05,Solar.R,95.0
281,1973-09-06,Solar.R,92.0
282,1973-09-07,Solar.R,252.0
283,1973-09-08,Solar.R,220.0
284,1973-09-09,Solar.R,230.0
285,1973-09-10,Solar.R,259.0
286,1973-09-11,Solar.R,236.0
287,1973-09-12,Solar.R,259.0
288,1973-09-13,Solar.R,238.0
289,1973-09-14,Solar.R,24.0
290,1973-09-15,Solar.R,112.0
291,1973-09-16,Solar.R,237.0
292,1973-09-17,Solar.R,224.0
293,1973-09-18,Solar.R,27.0
294,1973-09-19,Solar.R,238.0
295,1973-09-20,Solar.R,201.0
296,1973-09-21,Solar.R,238.0
297,1973-09-22,Solar.R,14.0
298,1973-09-23,Solar.R,139.0
299,1973-09-24,Solar.R,49.0
300,1973-09-25,Solar.R,20.0
301,1973-09-26,Solar.R,193.0
302,1973-09-27,Solar.R,145.0
303,1973-09-28,Solar.R,191.0
304,1973-09-29,Solar.R,131.0
305,1973-09-30,Solar.R,223.0
306,1973-05-01,Wind,7.4
307,1973-05-02,Wind,8.0
308,1973-05-03,Wind,12.6
309,1973-05-04,Wind,11.5
310,1973-05-05,Wind,14.3
311,1973-05-06,Wind,14.9
312,1973-05-07,Wind,8.6
313,1973-05-08,Wind,13.8
314,1973-05-09,Wind,20.1
315,1973-05-10,Wind,8.6
316,1973-05-11,Wind,6.9
317,1973-05-12,Wind,9.7
318,1973-05-13,Wind,9.2
319,1973-05-14,Wind,10.9
320,1973-05-15,Wind,13.2
321,1973-05-16,Wind,11.5
322,1973-05-17,Wind,12.0
323,1973-05-18,Wind,18.4
324,1973-05-19,Wind,11.5
325,1973-05-20,Wind,9.7
326,1973-05-21,Wind,9.7
327,1973-05-22,Wind,16.6
328,1973-05-23,Wind,9.7
329,1973-05-24,Wind,12.0
330,1973-05-25,Wind,16.6
331,1973-05-26,Wind,14.9
332,1973-05-27,Wind,8.0
333,1973-05-28,Wind,12.0
334,1973-05-29,Wind,14.9
335,1973-05-30,Wind,5.7
336,1973-05-31,Wind,7.4
337,1973-06-01,Wind,8.6
338,1973-06-02,Wind,9.7
339,1973-06-03,Wind,16.1
340,1973-06-04,Wind,9.2
341,1973-06-05,Wind,8.6
342,1973-06-06,Wind,14.3
343,1973-06-07,Wind,9.7
344,1973-06-08,Wind,6.9
345,1973-06-09,Wind,13.8
346,1973-06-10,Wind,11.5
347,1973-06-11,Wind,10.9
348,1973-06-12,Wind,9.2
349,1973-06-13,Wind,8.0
350,1973-06-14,Wind,13.8
351,1973-06-15,Wind,11.5
352,1973-06-16,Wind,14.9
353,1973-06-17,Wind,20.7
354,1973-06-18,Wind,9.2
355,1973-06-19,Wind,11.5
356,1973-06-20,Wind,10.3
357,1973-06-21,Wind,6.3
358,1973-06-22,Wind,1.7
359,1973-06-23,Wind,4.6
360,1973-06-24,Wind,6.3
361,1973-06-25,Wind,8.0
362,1973-06-26,Wind,8.0
363,1973-06-27,Wind,10.3
364,1973-06-28,Wind,11.5
365,1973-06-29,Wind,14.9
366,1973-06-30,Wind,8.0
367,1973-07-01,Wind,4.1
368,1973-07-02,Wind,9.2
369,1973-07-03,Wind,9.2
370,1973-07-04,Wind,10.9
371,1973-07-05,Wind,4.6
372,1973-07-06,Wind,10.9
373,1973-07-07,Wind,5.1
374,1973-07-08,Wind,6.3
375,1973-07-09,Wind,5.7
376,1973-07-10,Wind,7.4
377,1973-07-11,Wind,8.6
378,1973-07-12,Wind,14.3
379,1973-07-13,Wind,14.9
380,1973-07-14,Wind,14.9
381,1973-07-15,Wind,14.3
382,1973-07-16,Wind,6.9
383,1973-07-17,Wind,10.3
384,1973-07-18,Wind,6.3
385,1973-07-19,Wind,5.1
386,1973-07-20,Wind,11.5
387,1973-07-21,Wind,6.9
388,1973-07-22,Wind,9.7
389,1973-07-23,Wind,11.5
390,1973-07-24,Wind,8.6
391,1973-07-25,Wind,8.0
392,1973-07-26,Wind,8.6
393,1973-07-27,Wind,12.0
394,1973-07-28,Wind,7.4
395,1973-07-29,Wind,7.4
396,1973-07-30,Wind,7.4
397,1973-07-31,Wind,9.2
398,1973-08-01,Wind,6.9
399,1973-08-02,Wind,13.8
400,1973-08-03,Wind,7.4
401,1973-08-04,Wind,6.9
402,1973-08-05,Wind,7.4
403,1973-08-06,Wind,4.6
404,1973-08-07,Wind,4.0
405,1973-08-08,Wind,10.3
406,1973-08-09,Wind,8.0
407,1973-08-10,Wind,8.6
408,1973-08-11,Wind,11.5
409,1973-08-12,Wind,11.5
410,1973-08-13,Wind,11.5
411,1973-08-14,Wind,9.7
412,1973-08-15,Wind,11.5
413,1973-08-16,Wind,10.3
414,1973-08-17,Wind,6.3
415,1973-08-18,Wind,7.4
416,1973-08-19,Wind,10.9
417,1973-08-20,Wind,10.3
418,1973-08-21,Wind,15.5
419,1973-08-22,Wind,14.3
420,1973-08-23,Wind,12.6
421,1973-08-24,Wind,9.7
422,1973-08-25,Wind,3.4
423,1973-08-26,Wind,8.0
424,1973-08-27,Wind,5.7
425,1973-08-28,Wind,9.7
426,1973-08-29,Wind,2.3
427,1973-08-30,Wind,6.3
428,1973-08-31,Wind,6.3
429,1973-09-01,Wind,6.9
430,1973-09-02,Wind,5.1
431,1973-09-03,Wind,2.8
432,1973-09-04,Wind,4.6
433,1973-09-05,Wind,7.4
434,1973-09-06,Wind,15.5
435,1973-09-07,Wind,10.9
436,1973-09-08,Wind,10.3
437,1973-09-09,Wind,10.9
438,1973-09-10,Wind,9.7
439,1973-09-11,Wind,14.9
440,1973-09-12,Wind,15.5
441,1973-09-13,Wind,6.3
442,1973-09-14,Wind,10.9
443,1973-09-15,Wind,11.5
444,1973-09-16,Wind,6.9
445,1973-09-17,Wind,13.8
446,1973-09-18,Wind,10.3
447,1973-09-19,Wind,10.3
448,1973-09-20,Wind,8.0
449,1973-09-21,Wind,12.6
450,1973-09-22,Wind,9.2
451,1973-09-23,Wind,10.3
452,1973-09-24,Wind,10.3
453,1973-09-25,Wind,16.6
454,1973-09-26,Wind,6.9
455,1973-09-27,Wind,13.2
456,1973-09-28,Wind,14.3
457,1973-09-29,Wind,8.0
458,1973-09-30,Wind,11.5
459,1973-05-01,Temp,67.0
460,1973-05-02,Temp,72.0
461,1973-05-03,Temp,74.0
462,1973-05-04,Temp,62.0
463,1973-05-05,Temp,56.0
464,1973-05-06,Temp,66.0
465,1973-05-07,Temp,65.0
466,1973-05-08,Temp,59.0
467,1973-05-09,Temp,61.0
468,1973-05-10,Temp,69.0
469,1973-05-11,Temp,74.0
470,1973-05-12,Temp,69.0
471,1973-05-13,Temp,66.0
472,1973-05-14,Temp,68.0
473,1973-05-15,Temp,58.0
474,1973-05-16,Temp,64.0
475,1973-05-17,Temp,66.0
476,1973-05-18,Temp,57.0
477,1973-05-19,Temp,68.0
478,1973-05-20,Temp,62.0
479,1973-05-21,Temp,59.0
480,1973-05-22,Temp,73.0
481,1973-05-23,Temp,61.0
482,1973-05-24,Temp,61.0
483,1973-05-25,Temp,57.0
484,1973-05-26,Temp,58.0
485,1973-05-27,Temp,57.0
486,1973-05-28,Temp,67.0
487,1973-05-29,Temp,81.0
488,1973-05-30,Temp,79.0
489,1973-05-31,Temp,76.0
490,1973-06-01,Temp,78.0
491,1973-06-02,Temp,74.0
492,1973-06-03,Temp,67.0
493,1973-06-04,Temp,84.0
494,1973-06-05,Temp,85.0
495,1973-06-06,Temp,79.0
496,1973-06-07,Temp,82.0
497,1973-06-08,Temp,87.0
498,1973-06-09,Temp,90.0
499,1973-06-10,Temp,87.0
500,1973-06-11,Temp,93.0
501,1973-06-12,Temp,92.0
502,1973-06-13,Temp,82.0
503,1973-06-14,Temp,80.0
504,1973-06-15,Temp,79.0
505,1973-06-16,Temp,77.0
506,1973-06-17,Temp,72.0
507,1973-06-18,Temp,65.0
508,1973-06-19,Temp,73.0
509,1973-06-20,Temp,76.0
510,1973-06-21,Temp,77.0
511,1973-06-22,Temp,76.0
512,1973-06-23,Temp,76.0
513,1973-06-24,Temp,76.0
514,1973-06-25,Temp,75.0
515,1973-06-26,Temp,78.0
516,1973-06-27,Temp,73.0
517,1973-06-28,Temp,80.0
518,1973-06-29,Temp,77.0
519,1973-06-30,Temp,83.0
520,1973-07-01,Temp,84.0
521,1973-07-02,Temp,85.0
522,1973-07-03,Temp,81.0
523,1973-07-04,Temp,84.0
524,1973-07-05,Temp,83.0
525,1973-07-06,Temp,83.0
526,1973-07-07,Temp,88.0
527,1973-07-08,Temp,92.0
528,1973-07-09,Temp,92.0
529,1973-07-10,Temp,89.0
530,1973-07-11,Temp,82.0
531,1973-07-12,Temp,73.0
532,1973-07-13,Temp,81.0
533,1973-07-14,Temp,91.0
534,1973-07-15,Temp,80.0
535,1973-07-16,Temp,81.0
536,1973-07-17,Temp,82.0
537,1973-07-18,Temp,84.0
538,1973-07-19,Temp,87.0
539,1973-07-20,Temp,85.0
540,1973-07-21,Temp,74.0
541,1973-07-22,Temp,81.0
542,1973-07-23,Temp,82.0
543,1973-07-24,Temp,86.0
544,1973-07-25,Temp,85.0
545,1973-07-26,Temp,82.0
546,1973-07-27,Temp,86.0
547,1973-07-28,Temp,88.0
548,1973-07-29,Temp,86.0
549,1973-07-30,Temp,83.0
550,1973-07-31,Temp,81.0
551,1973-08-01,Temp,81.0
552,1973-08-02,Temp,81.0
553,1973-08-03,Temp,82.0
554,1973-08-04,Temp,86.0
555,1973-08-05,Temp,85.0
556,1973-08-06,Temp,87.0
557,1973-08-07,Temp,89.0
558,1973-08-08,Temp,90.0
559,1973-08-09,Temp,90.0
560,1973-08-10,Temp,92.0
561,1973-08-11,Temp,86.0
562,1973-08-12,Temp,86.0
563,1973-08-13,Temp,82.0
564,1973-08-14,Temp,80.0
565,1973-08-15,Temp,79.0
566,1973-08-16,Temp,77.0
567,1973-08-17,Temp,79.0
568,1973-08-18,Temp,76.0
569,1973-08-19,Temp,78.0
570,1973-08-20,Temp,78.0
571,1973-08-21,Temp,77.0
572,1973-08-22,Temp,72.0
573,1973-08-23,Temp,75.0
574,1973-08-24,Temp,79.0
575,1973-08-25,Temp,81.0
576,1973-08-26,Temp,86.0
577,1973-08-27,Temp,88.0
578,1973-08-28,Temp,97.0
579,1973-08-29,Temp,94.0
580,1973-08-30,Temp,96.0
581,1973-08-31,Temp,94.0
582,1973-09-01,Temp,91.0
583,1973-09-02,Temp,92.0
584,1973-09-03,Temp,93.0
585,1973-09-04,Temp,93.0
586,1973-09-05,Temp,87.0
587,1973-09-06,Temp,84.0
588,1973-09-07,Temp,80.0
589,1973-09-08,Temp,78.0
590,1973-09-09,Temp,75.0
591,1973-09-10,Temp,73.0
592,1973-09-11,Temp,81.0
593,1973-09-12,Temp,76.0
594,1973-09-13,Temp,77.0
595,1973-09-14,Temp,71.0
596,1973-09-15,Temp,71.0
597,1973-09-16,Temp,78.0
598,1973-09-17,Temp,67.0
599,1973-09-18,Temp,76.0
600,1973-09-19,Temp,68.0
601,1973-09-20,Temp,82.0
602,1973-09-21,Temp,64.0
603,1973-09-22,Temp,71.0
604,1973-09-23,Temp,81.0
605,1973-09-24,Temp,69.0
606,1973-09-25,Temp,63.0
607,1973-09-26,Temp,70.0
608,1973-09-27,Temp,77.0
609,1973-09-28,Temp,75.0
610,1973-09-29,Temp,76.0
611,1973-09-30,Temp,68.0
0,1973-05-01,Ozone,41.0
1,1973-05-02,Ozone,36.0
2,1973-05-03,Ozone,12.0
3,1973-05-04,Ozone,18.0
4,1973-05-05,Ozone,
5,1973-05-06,Ozone,28.0
6,1973-05-07,Ozone,23.0
7,1973-05-08,Ozone,19.0
8,1973-05-09,Ozone,8.0
9,1973-05-10,Ozone,
10,1973-05-11,Ozone,7.0
11,1973-05-12,Ozone,16.0
12,1973-05-13,Ozone,11.0
13,1973-05-14,Ozone,14.0
14,1973-05-15,Ozone,18.0
15,1973-05-16,Ozone,14.0
16,1973-05-17,Ozone,34.0
17,1973-05-18,Ozone,6.0
18,1973-05-19,Ozone,30.0
19,1973-05-20,Ozone,11.0
20,1973-05-21,Ozone,1.0
21,1973-05-22,Ozone,11.0
22,1973-05-23,Ozone,4.0
23,1973-05-24,Ozone,32.0
24,1973-05-25,Ozone,
25,1973-05-26,Ozone,
26,1973-05-27,Ozone,
27,1973-05-28,Ozone,23.0
28,1973-05-29,Ozone,45.0
29,1973-05-30,Ozone,115.0
30,1973-05-31,Ozone,37.0
31,1973-06-01,Ozone,
32,1973-06-02,Ozone,
33,1973-06-03,Ozone,
34,1973-06-04,Ozone,
35,1973-06-05,Ozone,
36,1973-06-06,Ozone,
37,1973-06-07,Ozone,29.0
38,1973-06-08,Ozone,
39,1973-06-09,Ozone,71.0
40,1973-06-10,Ozone,39.0
41,1973-06-11,Ozone,
42,1973-06-12,Ozone,
43,1973-06-13,Ozone,23.0
44,1973-06-14,Ozone,
45,1973-06-15,Ozone,
46,1973-06-16,Ozone,21.0
47,1973-06-17,Ozone,37.0
48,1973-06-18,Ozone,20.0
49,1973-06-19,Ozone,12.0
50,1973-06-20,Ozone,13.0
51,1973-06-21,Ozone,
52,1973-06-22,Ozone,
53,1973-06-23,Ozone,
54,1973-06-24,Ozone,
55,1973-06-25,Ozone,
56,1973-06-26,Ozone,
57,1973-06-27,Ozone,
58,1973-06-28,Ozone,
59,1973-06-29,Ozone,
60,1973-06-30,Ozone,
61,1973-07-01,Ozone,135.0
62,1973-07-02,Ozone,49.0
63,1973-07-03,Ozone,32.0
64,1973-07-04,Ozone,
65,1973-07-05,Ozone,64.0
66,1973-07-06,Ozone,40.0
67,1973-07-07,Ozone,77.0
68,1973-07-08,Ozone,97.0
69,1973-07-09,Ozone,97.0
70,1973-07-10,Ozone,85.0
71,1973-07-11,Ozone,
72,1973-07-12,Ozone,10.0
73,1973-07-13,Ozone,27.0
74,1973-07-14,Ozone,
75,1973-07-15,Ozone,7.0
76,1973-07-16,Ozone,48.0
77,1973-07-17,Ozone,35.0
78,1973-07-18,Ozone,61.0
79,1973-07-19,Ozone,79.0
80,1973-07-20,Ozone,63.0
81,1973-07-21,Ozone,16.0
82,1973-07-22,Ozone,
83,1973-07-23,Ozone,
84,1973-07-24,Ozone,80.0
85,1973-07-25,Ozone,108.0
86,1973-07-26,Ozone,20.0
87,1973-07-27,Ozone,52.0
88,1973-07-28,Ozone,82.0
89,1973-07-29,Ozone,50.0
90,1973-07-30,Ozone,64.0
91,1973-07-31,Ozone,59.0
92,1973-08-01,Ozone,39.0
93,1973-08-02,Ozone,9.0
94,1973-08-03,Ozone,16.0
95,1973-08-04,Ozone,78.0
96,1973-08-05,Ozone,35.0
97,1973-08-06,Ozone,66.0
98,1973-08-07,Ozone,122.0
99,1973-08-08,Ozone,89.0
100,1973-08-09,Ozone,110.0
101,1973-08-10,Ozone,
102,1973-08-11,Ozone,
103,1973-08-12,Ozone,44.0
104,1973-08-13,Ozone,28.0
105,1973-08-14,Ozone,65.0
106,1973-08-15,Ozone,
107,1973-08-16,Ozone,22.0
108,1973-08-17,Ozone,59.0
109,1973-08-18,Ozone,23.0
110,1973-08-19,Ozone,31.0
111,1973-08-20,Ozone,44.0
112,1973-08-21,Ozone,21.0
113,1973-08-22,Ozone,9.0
114,1973-08-23,Ozone,
115,1973-08-24,Ozone,45.0
116,1973-08-25,Ozone,168.0
117,1973-08-26,Ozone,73.0
118,1973-08-27,Ozone,
119,1973-08-28,Ozone,76.0
120,1973-08-29,Ozone,118.0
121,1973-08-30,Ozone,84.0
122,1973-08-31,Ozone,85.0
123,1973-09-01,Ozone,96.0
124,1973-09-02,Ozone,78.0
125,1973-09-03,Ozone,73.0
126,1973-09-04,Ozone,91.0
127,1973-09-05,Ozone,47.0
128,1973-09-06,Ozone,32.0
129,1973-09-07,Ozone,20.0
130,1973-09-08,Ozone,23.0
131,1973-09-09,Ozone,21.0
132,1973-09-10,Ozone,24.0
133,1973-09-11,Ozone,44.0
134,1973-09-12,Ozone,21.0
135,1973-09-13,Ozone,28.0
136,1973-09-14,Ozone,9.0
137,1973-09-15,Ozone,13.0
138,1973-09-16,Ozone,46.0
139,1973-09-17,Ozone,18.0
140,1973-09-18,Ozone,13.0
141,1973-09-19,Ozone,24.0
142,1973-09-20,Ozone,16.0
143,1973-09-21,Ozone,13.0
144,1973-09-22,Ozone,23.0
145,1973-09-23,Ozone,36.0
146,1973-09-24,Ozone,7.0
147,1973-09-25,Ozone,14.0
148,1973-09-26,Ozone,30.0
149,1973-09-27,Ozone,
150,1973-09-28,Ozone,14.0
151,1973-09-29,Ozone,18.0
152,1973-09-30,Ozone,20.0
153,1973-05-01,Solar.R,190.0
154,1973-05-02,Solar.R,118.0
155,1973-05-03,Solar.R,149.0
156,1973-05-04,Solar.R,313.0
157,1973-05-05,Solar.R,
158,1973-05-06,Solar.R,
159,1973-05-07,Solar.R,299.0
160,1973-05-08,Solar.R,99.0
161,1973-05-09,Solar.R,19.0
162,1973-05-10,Solar.R,194.0
163,1973-05-11,Solar.R,
164,1973-05-12,Solar.R,256.0
165,1973-05-13,Solar.R,290.0
166,1973-05-14,Solar.R,274.0
167,1973-05-15,Solar.R,65.0
168,1973-05-16,Solar.R,334.0
169,1973-05-17,Solar.R,307.0
170,1973-05-18,Solar.R,78.0
171,1973-05-19,Solar.R,322.0
172,1973-05-20,Solar.R,44.0
173,1973-05-21,Solar.R,8.0
174,1973-05-22,Solar.R,320.0
175,1973-05-23,Solar.R,25.0
176,1973-05-24,Solar.R,92.0
177,1973-05-25,Solar.R,66.0
178,1973-05-26,Solar.R,266.0
179,1973-05-27,Solar.R,
180,1973-05-28,Solar.R,13.0
181,1973-05-29,Solar.R,252.0
182,1973-05-30,Solar.R,223.0
183,1973-05-31,Solar.R,279.0
184,1973-06-01,Solar.R,286.0
