,total_bill,tip,sex,smoker,day,time,size
115,17.31,3.5,Female,No,Sun,Dinner,2.0
116,29.93,5.07,Male,No,Sun,Dinner,4.0
117,10.65,1.5,Female,No,Thur,Lunch,2.0
118,12.43,1.8,Female,No,Thur,Lunch,2.0
119,24.08,2.92,,,Thur,Lunch,4.0
120,missing,2.31,Male,No,Thur,Lunch,2.0
121,13.42,1.68,Female,,Thur,Lunch,2.0
122,missing,missing,Male,No,Thur,Lunch,2.0
123,15.95,2.0,Male,No,Thur,Lunch,2.0
124,12.48,2.52,Female,No,Thur,Lunch,2.0
125,29.8,4.2,Female,No,Thur,Lunch,6.0
126,8.52,1.48,Male,No,Thur,Lunch,2.0
127,missing,2.0,Female,No,Thur,Lunch,2.0
128,missing,2.0,Female,No,Thur,Lunch,2.0
129,22.82,2.18,Male,No,Thur,Lunch,3.0
130,missing,1.5,Male,No,Thur,Lunch,2.0
131,20.27,2.83,Female,No,Thur,Lunch,2.0
132,11.17,1.5,Female,No,Thur,Lunch,2.0
133,missing,2.0,Female,No,Thur,Lunch,2.0
134,18.26,3.25,Female,No,Thur,,2.0
135,8.51,1.25,Female,No,Thur,Lunch,2.0
136,missing,missing,Female,No,Thur,Lunch,2.0
137,14.15,2.0,Female,No,Thur,Lunch,2.0
138,16.0,missing,Male,,Thur,Lunch,2.0
139,13.16,2.75,Female,No,Thur,Lunch,2.0
140,17.47,3.5,Female,No,Thur,Lunch,2.0
141,34.3,6.7,Male,No,Thur,Lunch,6.0
142,missing,5.0,Male,No,Thur,Lunch,5.0
143,27.05,5.0,Female,No,Thur,Lunch,6.0
144,16.43,2.3,Female,No,Thur,Lunch,2.0
145,missing,1.5,Female,No,Thur,Lunch,2.0
146,18.64,1.36,Female,No,Thur,Lunch,3.0
147,11.87,1.63,Female,No,Thur,Lunch,2.0
148,9.78,1.73,Male,No,Thur,Lunch,2.0
149,7.51,2.0,Male,No,Thur,Lunch,2.0
150,14.07,2.5,Male,,Sun,Dinner,2.0
151,missing,2.0,Male,No,Sun,Dinner,2.0
152,17.26,2.74,Male,No,Sun,Dinner,3.0
153,24.55,2.0,Male,No,Sun,Dinner,4.0
154,19.77,missing,Male,,Sun,Dinner,4.0
155,29.85,missing,Female,No,Sun,Dinner,5.0
156,48.17,5.0,Male,No,Sun,Dinner,6.0
157,25.0,3.75,Female,,Sun,Dinner,4.0
158,13.39,2.61,,No,Sun,Dinner,2.0
159,missing,2.0,Male,No,Sun,Dinner,4.0
160,21.5,3.5,Male,No,Sun,,4.0
161,12.66,2.5,Male,No,Sun,Dinner,2.0
162,16.21,2.0,Female,No,Sun,Dinner,3.0
163,13.81,2.0,Male,No,Sun,Dinner,2.0
164,17.51,3.0,Female,Yes,Sun,Dinner,2.0
165,24.52,3.48,Male,No,Sun,,3.0
166,20.76,2.24,Male,No,Sun,Dinner,2.0
167,31.71,4.5,,No,Sun,Dinner,
168,10.59,1.61,Female,Yes,Sat,Dinner,2.0
169,missing,2.0,Female,Yes,Sat,Dinner,2.0
170,50.81,10.0,Male,Yes,Sat,Dinner,3.0
171,15.81,3.16,Male,Yes,Sat,Dinner,2.0
172,7.25,missing,Male,Yes,Sun,Dinner,
173,missing,3.18,Male,Yes,Sun,Dinner,2.0
174,16.82,4.0,Male,Yes,Sun,Dinner,
175,32.9,3.11,Male,,Sun,Dinner,2.0
176,17.89,2.0,Male,Yes,Sun,Dinner,2.0
177,14.48,2.0,Male,Yes,Sun,Dinner,2.0
178,9.6,4.0,,,Sun,Dinner,2.0
179,34.63,3.55,Male,Yes,Sun,Dinner,2.0
180,34.65,3.68,Male,Yes,Sun,Dinner,4.0
181,23.33,5.65,Male,Yes,Sun,Dinner,2.0
182,missing,3.5,Male,Yes,Sun,Dinner,3.0
183,23.17,6.5,Male,Yes,Sun,Dinner,
184,40.55,3.0,Male,,Sun,Dinner,2.0
185,20.69,5.0,,No,Sun,Dinner,5.0
186,20.9,3.5,Female,Yes,Sun,Dinner,3.0
187,missing,2.0,Male,Yes,Sun,Dinner,5.0
188,18.15,missing,Female,Yes,Sun,Dinner,3.0
189,23.1,4.0,Male,,Sun,Dinner,3.0
190,15.69,1.5,Male,Yes,Sun,Dinner,2.0
191,19.81,4.19,Female,Yes,Thur,Lunch,2.0
192,28.44,2.56,Male,Yes,Thur,Lunch,2.0
193,missing,missing,Male,Yes,Thur,Lunch,2.0
194,16.58,4.0,Male,Yes,Thur,,2.0
195,7.56,1.44,Male,No,Thur,Lunch,2.0
196,10.34,missing,Male,Yes,Thur,Lunch,
197,43.11,5.0,Female,Yes,Thur,Lunch,4.0
198,13.0,2.0,Female,Yes,Thur,Lunch,2.0
199,13.51,2.0,Male,Yes,Thur,,2.0
200,missing,4.0,Male,Yes,Thur,Lunch,3.0
201,12.74,2.01,Female,Yes,Thur,Lunch,
202,13.0,2.0,Female,Yes,Thur,Lunch,2.0
203,16.4,2.5,Female,Yes,Thur,Lunch,2.0
204,20.53,4.0,Male,Yes,Thur,Lunch,4.0
205,16.47,3.23,Female,Yes,Thur,Lunch,3.0
206,26.59,3.41,Male,Yes,Sat,Dinner,3.0
207,38.73,missing,Male,Yes,Sat,Dinner,4.0
208,24.27,2.03,Male,Yes,Sat,Dinner,2.0
209,12.76,2.23,Female,Yes,Sat,Dinner,2.0
210,missing,2.0,Male,Yes,Sat,Dinner,3.0
211,25.89,5.16,,Yes,Sat,Dinner,4.0
212,48.33,9.0,Male,No,Sat,Dinner,4.0
213,13.27,2.5,Female,Yes,Sat,Dinner,2.0
214,28.17,6.5,Female,Yes,Sat,Dinner,3.0
215,12.9,1.1,Female,Yes,Sat,Dinner,2.0
216,28.15,3.0,Male,Yes,Sat,Dinner,5.0
217,11.59,1.5,Male,Yes,Sat,Dinner,2.0
218,7.74,1.44,Male,Yes,Sat,Dinner,2.0
219,missing,3.09,Female,Yes,Sat,Dinner,4.0
220,12.16,missing,Male,Yes,Fri,Lunch,2.0
221,13.42,3.48,Female,Yes,Fri,,2.0
222,8.58,1.92,Male,Yes,Fri,Lunch,1.0
223,15.98,3.0,Female,No,,Lunch,3.0
224,13.42,1.58,Male,Yes,Fri,,2.0
225,16.27,2.5,Female,Yes,Fri,Lunch,2.0
226,10.09,2.0,Female,Yes,Fri,,2.0
227,20.45,3.0,Male,No,Sat,Dinner,
228,13.28,2.72,Male,No,Sat,Dinner,2.0
229,22.12,2.88,Female,Yes,Sat,Dinner,2.0
230,24.01,2.0,Male,Yes,Sat,Dinner,4.0
231,missing,missing,,Yes,Sat,Dinner,3.0
232,11.61,3.39,Male,No,Sat,Dinner,2.0
233,10.77,1.47,,No,Sat,Dinner,2.0
234,missing,3.0,Male,Yes,Sat,Dinner,2.0
235,10.07,1.25,Male,No,Sat,Dinner,
236,12.6,1.0,Male,Yes,Sat,Dinner,2.0
237,32.83,1.17,Male,Yes,Sat,Dinner,2.0
238,35.83,4.67,Female,No,Sat,Dinner,3.0
239,29.03,missing,Male,No,Sat,Dinner,3.0
240,27.18,2.0,Female,Yes,Sat,,2.0
241,22.67,2.0,Male,Yes,Sat,Dinner,2.0
242,17.82,1.75,Male,No,Sat,Dinner,2.0
243,18.78,3.0,Female,No,Thur,Dinner,2.0
