,total_bill,tip,sex,smoker,day,time,size,total_dollar,total_dollar_replace,total_dollar_re
30,9.55,1.45,Male,No,Sat,Dinner,2,$9.55,9.55,9.55
31,18.35,2.5,Male,No,Sat,Dinner,4,$18.35,18.35,18.35
32,15.06,3.0,Female,No,Sat,Dinner,2,$15.06,15.06,15.06
33,20.69,2.45,Female,No,Sat,Dinner,4,$20.69,20.69,20.69
34,17.78,3.27,Male,No,Sat,Dinner,2,$17.78,17.78,17.78
35,24.06,3.6,Male,No,Sat,Dinner,3,$24.06,24.06,24.06
36,16.31,2.0,Male,No,Sat,Dinner,3,$16.31,16.31,16.31
37,16.93,3.07,Female,No,Sat,Dinner,3,$16.93,16.93,16.93
38,18.69,2.31,Male,No,Sat,Dinner,3,$18.69,18.69,18.69
39,31.27,5.0,Male,No,Sat,Dinner,3,$31.27,31.27,31.27
40,16.04,2.24,Male,No,Sat,Dinner,3,$16.04,16.04,16.04
41,17.46,2.54,Male,No,Sun,Dinner,2,$17.46,17.46,17.46
42,13.94,3.06,Male,No,Sun,Dinner,2,$13.94,13.94,13.94
43,9.68,1.32,Male,No,Sun,Dinner,2,$9.68,9.68,9.68
44,30.4,5.6,Male,No,Sun,Dinner,4,$30.4,30.4,30.4
45,18.29,3.0,Male,No,Sun,Dinner,2,$18.29,18.29,18.29
46,22.23,5.0,Male,No,Sun,Dinner,2,$22.23,22.23,22.23
47,32.4,6.0,Male,No,Sun,Dinner,4,$32.4,32.4,32.4
48,28.55,2.05,Male,No,Sun,Dinner,3,$28.55,28.55,28.55
49,18.04,3.0,Male,No,Sun,Dinner,2,$18.04,18.04,18.04
50,12.54,2.5,Male,No,Sun,Dinner,2,$12.54,12.54,12.54
51,10.29,2.6,Female,No,Sun,Dinner,2,$10.29,10.29,10.29
52,34.81,5.2,Female,No,Sun,Dinner,4,$34.81,34.81,34.81
53,9.94,1.56,Male,No,Sun,Dinner,2,$9.94,9.94,9.94
54,25.56,4.34,Male,No,Sun,Dinner,4,$25.56,25.56,25.56
55,19.49,3.51,Male,No,Sun,Dinner,2,$19.49,19.49,19.49
56,38.01,3.0,Male,Yes,Sat,Dinner,4,$38.01,38.01,38.01
57,26.41,1.5,Female,No,Sat,Dinner,2,$26.41,26.41,26.41
58,11.24,1.76,Male,Yes,Sat,Dinner,2,$11.24,11.24,11.24
59,48.27,6.73,Male,No,Sat,Dinner,4,$48.27,48.27,48.27
60,20.29,3.21,Male,Yes,Sat,Dinner,2,$20.29,20.29,20.29
61,13.81,2.0,Male,Yes,Sat,Dinner,2,$13.81,13.81,13.81
62,11.02,1.98,Male,Yes,Sat,Dinner,2,$11.02,11.02,11.02
63,18.29,3.76,Male,Yes,Sat,Dinner,4,$18.29,18.29,18.29
64,17.59,2.64,Male,No,Sat,Dinner,3,$17.59,17.59,17.59
65,20.08,3.15,Male,No,Sat,Dinner,3,$20.08,20.08,20.08
66,16.45,2.47,Female,No,Sat,Dinner,2,$16.45,16.45,16.45
67,3.07,1.0,Female,Yes,Sat,Dinner,1,$3.07,3.07,3.07
68,20.23,2.01,Male,No,Sat,Dinner,2,$20.23,20.23,20.23
69,15.01,2.09,Male,Yes,Sat,Dinner,2,$15.01,15.01,15.01
70,12.02,1.97,Male,No,Sat,Dinner,2,$12.02,12.02,12.02
71,17.07,3.0,Female,No,Sat,Dinner,3,$17.07,17.07,17.07
72,26.86,3.14,Female,Yes,Sat,Dinner,2,$26.86,26.86,26.86
73,25.28,5.0,Female,Yes,Sat,Dinner,2,$25.28,25.28,25.28
74,14.73,2.2,Female,No,Sat,Dinner,2,$14.73,14.73,14.73
75,10.51,1.25,Male,No,Sat,Dinner,2,$10.51,10.51,10.51
76,17.92,3.08,Male,Yes,Sat,Dinner,2,$17.92,17.92,17.92
77,27.2,4.0,Male,No,Thur,Lunch,4,$27.2,27.2,27.2
78,22.76,3.0,Male,No,Thur,Lunch,2,$22.76,22.76,22.76
79,17.29,2.71,Male,No,Thur,Lunch,2,$17.29,17.29,17.29
80,19.44,3.0,Male,Yes,Thur,Lunch,2,$19.44,19.44,19.44
81,16.66,3.4,Male,No,Thur,Lunch,2,$16.66,16.66,16.66
82,10.07,1.83,Female,No,Thur,Lunch,1,$10.07,10.07,10.07
83,32.68,5.0,Male,Yes,Thur,Lunch,2,$32.68,32.68,32.68
84,15.98,2.03,Male,No,Thur,Lunch,2,$15.98,15.98,15.98
85,34.83,5.17,Female,No,Thur,Lunch,4,$34.83,34.83,34.83
86,13.03,2.0,Male,No,Thur,Lunch,2,$13.03,13.03,13.03
87,18.28,4.0,Male,No,Thur,Lunch,2,$18.28,18.28,18.28
88,24.71,5.85,Male,No,Thur,Lunch,2,$24.71,24.71,24.71
89,21.16,3.0,Male,No,Thur,Lunch,2,$21.16,21.16,21.16
90,28.97,3.0,Male,Yes,Fri,Dinner,2,$28.97,28.97,28.97
91,22.49,3.5,Male,No,Fri,Dinner,2,$22.49,22.49,22.49
92,5.75,1.0,Female,Yes,Fri,Dinner,2,$5.75,5.75,5.75
93,16.32,4.3,Female,Yes,Fri,Dinner,2,$16.32,16.32,16.32
94,22.75,3.25,Female,No,Fri,Dinner,2,$22.75,22.75,22.75
95,40.17,4.73,Male,Yes,Fri,Dinner,4,$40.17,40.17,40.17
96,27.28,4.0,Male,Yes,Fri,Dinner,2,$27.28,27.28,27.28
97,12.03,1.5,Male,Yes,Fri,Dinner,2,$12.03,12.03,12.03
98,21.01,3.0,Male,Yes,Fri,Dinner,2,$21.01,21.01,21.01
99,12.46,1.5,Male,No,Fri,Dinner,2,$12.46,12.46,12.46
100,11.35,2.5,Female,Yes,Fri,Dinner,2,$11.35,11.35,11.35
101,15.38,3.0,Female,Yes,Fri,Dinner,2,$15.38,15.38,15.38
102,44.3,2.5,Female,Yes,Sat,Dinner,3,$44.3,44.3,44.3
103,22.42,3.48,Female,Yes,Sat,Dinner,2,$22.42,22.42,22.42
104,20.92,4.08,Female,No,Sat,Dinner,2,$20.92,20.92,20.92
105,15.36,1.64,Male,Yes,Sat,Dinner,2,$15.36,15.36,15.36
106,20.49,4.06,Male,Yes,Sat,Dinner,2,$20.49,20.49,20.49
107,25.21,4.29,Male,Yes,Sat,Dinner,2,$25.21,25.21,25.21
108,18.24,3.76,Male,No,Sat,Dinner,2,$18.24,18.24,18.24
109,14.31,4.0,Female,Yes,Sat,Dinner,2,$14.31,14.31,14.31
110,14.0,3.0,Male,No,Sat,Dinner,2,$14.0,14.0,14.0
111,7.25,1.0,Female,No,Sat,Dinner,1,$7.25,7.25,7.25
112,38.07,4.0,Male,No,Sun,Dinner,3,$38.07,38.07,38.07
113,23.95,2.55,Male,No,Sun,Dinner,2,$23.95,23.95,23.95
114,25.71,4.0,Female,No,Sun,Dinner,3,$25.71,25.71,25.71
115,17.31,3.5,Female,No,Sun,Dinner,2,$17.31,17.31,17.31
116,29.93,5.07,Male,No,Sun,Dinner,4,$29.93,29.93,29.93
117,10.65,1.5,Female,No,Thur,Lunch,2,$10.65,10.65,10.65
118,12.43,1.8,Female,No,Thur,Lunch,2,$12.43,12.43,12.43
119,24.08,2.92,Female,No,Thur,Lunch,4,$24.08,24.08,24.08
120,11.69,2.31,Male,No,Thur,Lunch,2,$11.69,11.69,11.69
121,13.42,1.68,Female,No,Thur,Lunch,2,$13.42,13.42,13.42
122,14.26,2.5,Male,No,Thur,Lunch,2,$14.26,14.26,14.26
123,15.95,2.0,Male,No,Thur,Lunch,2,$15.95,15.95,15.95
124,12.48,2.52,Female,No,Thur,Lunch,2,$12.48,12.48,12.48
125,29.8,4.2,Female,No,Thur,Lunch,6,$29.8,29.8,29.8
126,8.52,1.48,Male,No,Thur,Lunch,2,$8.52,8.52,8.52
127,14.52,2.0,Female,No,Thur,Lunch,2,$14.52,14.52,14.52
128,11.38,2.0,Female,No,Thur,Lunch,2,$11.38,11.38,11.38
129,22.82,2.18,Male,No,Thur,Lunch,3,$22.82,22.82,22.82
130,19.08,1.5,Male,No,Thur,Lunch,2,$19.08,19.08,19.08
131,20.27,2.83,Female,No,Thur,Lunch,2,$20.27,20.27,20.27
132,11.17,1.5,Female,No,Thur,Lunch,2,$11.17,11.17,11.17
133,12.26,2.0,Female,No,Thur,Lunch,2,$12.26,12.26,12.26
134,18.26,3.25,Female,No,Thur,Lunch,2,$18.26,18.26,18.26
135,8.51,1.25,Female,No,Thur,Lunch,2,$8.51,8.51,8.51
136,10.33,2.0,Female,No,Thur,Lunch,2,$10.33,10.33,10.33
137,14.15,2.0,Female,No,Thur,Lunch,2,$14.15,14.15,14.15
138,16.0,2.0,Male,Yes,Thur,Lunch,2,$16.0,16.0,16.0
139,13.16,2.75,Female,No,Thur,Lunch,2,$13.16,13.16,13.16
140,17.47,3.5,Female,No,Thur,Lunch,2,$17.47,17.47,17.47
141,34.3,6.7,Male,No,Thur,Lunch,6,$34.3,34.3,34.3
142,41.19,5.0,Male,No,Thur,Lunch,5,$41.19,41.19,41.19
143,27.05,5.0,Female,No,Thur,Lunch,6,$27.05,27.05,27.05
144,16.43,2.3,Female,No,Thur,Lunch,2,$16.43,16.43,16.43
145,8.35,1.5,Female,No,Thur,Lunch,2,$8.35,8.35,8.35
146,18.64,1.36,Female,No,Thur,Lunch,3,$18.64,18.64,18.64
147,11.87,1.63,Female,No,Thur,Lunch,2,$11.87,11.87,11.87
148,9.78,1.73,Male,No,Thur,Lunch,2,$9.78,9.78,9.78
149,7.51,2.0,Male,No,Thur,Lunch,2,$7.51,7.51,7.51
150,14.07,2.5,Male,No,Sun,Dinner,2,$14.07,14.07,14.07
151,13.13,2.0,Male,No,Sun,Dinner,2,$13.13,13.13,13.13
152,17.26,2.74,Male,No,Sun,Dinner,3,$17.26,17.26,17.26
153,24.55,2.0,Male,No,Sun,Dinner,4,$24.55,24.55,24.55
154,19.77,2.0,Male,No,Sun,Dinner,4,$19.77,19.77,19.77
155,29.85,5.14,Female,No,Sun,Dinner,5,$29.85,29.85,29.85
156,48.17,5.0,Male,No,Sun,Dinner,6,$48.17,48.17,48.17
157,25.0,3.75,Female,No,Sun,Dinner,4,$25.0,25.0,25.0
158,13.39,2.61,Female,No,Sun,Dinner,2,$13.39,13.39,13.39
159,16.49,2.0,Male,No,Sun,Dinner,4,$16.49,16.49,16.49
160,21.5,3.5,Male,No,Sun,Dinner,4,$21.5,21.5,21.5
161,12.66,2.5,Male,No,Sun,Dinner,2,$12.66,12.66,12.66
162,16.21,2.0,Female,No,Sun,Dinner,3,$16.21,16.21,16.21
163,13.81,2.0,Male,No,Sun,Dinner,2,$13.81,13.81,13.81
164,17.51,3.0,Female,Yes,Sun,Dinner,2,$17.51,17.51,17.51
165,24.52,3.48,Male,No,Sun,Dinner,3,$24.52,24.52,24.52
166,20.76,2.24,Male,No,Sun,Dinner,2,$20.76,20.76,20.76
167,31.71,4.5,Male,No,Sun,Dinner,4,$31.71,31.71,31.71
168,10.59,1.61,Female,Yes,Sat,Dinner,2,$10.59,10.59,10.59
169,10.63,2.0,Female,Yes,Sat,Dinner,2,$10.63,10.63,10.63
170,50.81,10.0,Male,Yes,Sat,Dinner,3,$50.81,50.81,50.81
171,15.81,3.16,Male,Yes,Sat,Dinner,2,$15.81,15.81,15.81
172,7.25,5.15,Male,Yes,Sun,Dinner,2,$7.25,7.25,7.25
173,31.85,3.18,Male,Yes,Sun,Dinner,2,$31.85,31.85,31.85
174,16.82,4.0,Male,Yes,Sun,Dinner,2,$16.82,16.82,16.82
175,32.9,3.11,Male,Yes,Sun,Dinner,2,$32.9,32.9,32.9
176,17.89,2.0,Male,Yes,Sun,Dinner,2,$17.89,17.89,17.89
177,14.48,2.0,Male,Yes,Sun,Dinner,2,$14.48,14.48,14.48
178,9.6,4.0,Female,Yes,Sun,Dinner,2,$9.6,9.6,9.6
179,34.63,3.55,Male,Yes,Sun,Dinner,2,$34.63,34.63,34.63
180,34.65,3.68,Male,Yes,Sun,Dinner,4,$34.65,34.65,34.65
181,23.33,5.65,Male,Yes,Sun,Dinner,2,$23.33,23.33,23.33
182,45.35,3.5,Male,Yes,Sun,Dinner,3,$45.35,45.35,45.35
183,23.17,6.5,Male,Yes,Sun,Dinner,4,$23.17,23.17,23.17
184,40.55,3.0,Male,Yes,Sun,Dinner,2,$40.55,40.55,40.55
185,20.69,5.0,Male,No,Sun,Dinner,5,$20.69,20.69,20.69
186,20.9,3.5,Female,Yes,Sun,Dinner,3,$20.9,20.9,20.9
187,30.46,2.0,Male,Yes,Sun,Dinner,5,$30.46,30.46,30.46
188,18.15,3.5,Female,Yes,Sun,Dinner,3,$18.15,18.15,18.15
189,23.1,4.0,Male,Yes,Sun,Dinner,3,$23.1,23.1,23.1
190,15.69,1.5,Male,Yes,Sun,Dinner,2,$15.69,15.69,15.69
191,19.81,4.19,Female,Yes,Thur,Lunch,2,$19.81,19.81,19.81
192,28.44,2.56,Male,Yes,Thur,Lunch,2,$28.44,28.44,28.44
193,15.48,2.02,Male,Yes,Thur,Lunch,2,$15.48,15.48,15.48
194,16.58,4.0,Male,Yes,Thur,Lunch,2,$16.58,16.58,16.58
195,7.56,1.44,Male,No,Thur,Lunch,2,$7.56,7.56,7.56
196,10.34,2.0,Male,Yes,Thur,Lunch,2,$10.34,10.34,10.34
197,43.11,5.0,Female,Yes,Thur,Lunch,4,$43.11,43.11,43.11
198,13.0,2.0,Female,Yes,Thur,Lunch,2,$13.0,13.0,13.0
199,13.51,2.0,Male,Yes,Thur,Lunch,2,$13.51,13.51,13.51
200,18.71,4.0,Male,Yes,Thur,Lunch,3,$18.71,18.71,18.71
201,12.74,2.01,Female,Yes,Thur,Lunch,2,$12.74,12.74,12.74
202,13.0,2.0,Female,Yes,Thur,Lunch,2,$13.0,13.0,13.0
203,16.4,2.5,Female,Yes,Thur,Lunch,2,$16.4,16.4,16.4
204,20.53,4.0,Male,Yes,Thur,Lunch,4,$20.53,20.53,20.53
205,16.47,3.23,Female,Yes,Thur,Lunch,3,$16.47,16.47,16.47
206,26.59,3.41,Male,Yes,Sat,Dinner,3,$26.59,26.59,26.59
207,38.73,3.0,Male,Yes,Sat,Dinner,4,$38.73,38.73,38.73
208,24.27,2.03,Male,Yes,Sat,Dinner,2,$24.27,24.27,24.27
209,12.76,2.23,Female,Yes,Sat,Dinner,2,$12.76,12.76,12.76
210,30.06,2.0,Male,Yes,Sat,Dinner,3,$30.06,30.06,30.06
211,25.89,5.16,Male,Yes,Sat,Dinner,4,$25.89,25.89,25.89
212,48.33,9.0,Male,No,Sat,Dinner,4,$48.33,48.33,48.33
213,13.27,2.5,Female,Yes,Sat,Dinner,2,$13.27,13.27,13.27
214,28.17,6.5,Female,Yes,Sat,Dinner,3,$28.17,28.17,28.17
215,12.9,1.1,Female,Yes,Sat,Dinner,2,$12.9,12.9,12.9
216,28.15,3.0,Male,Yes,Sat,Dinner,5,$28.15,28.15,28.15
217,11.59,1.5,Male,Yes,Sat,Dinner,2,$11.59,11.59,11.59
218,7.74,1.44,Male,Yes,Sat,Dinner,2,$7.74,7.74,7.74
219,30.14,3.09,Female,Yes,Sat,Dinner,4,$30.14,30.14,30.14
220,12.16,2.2,Male,Yes,Fri,Lunch,2,$12.16,12.16,12.16
221,13.42,3.48,Female,Yes,Fri,Lunch,2,$13.42,13.42,13.42
222,8.58,1.92,Male,Yes,Fri,Lunch,1,$8.58,8.58,8.58
223,15.98,3.0,Female,No,Fri,Lunch,3,$15.98,15.98,15.98
224,13.42,1.58,Male,Yes,Fri,Lunch,2,$13.42,13.42,13.42
225,16.27,2.5,Female,Yes,Fri,Lunch,2,$16.27,16.27,16.27
226,10.09,2.0,Female,Yes,Fri,Lunch,2,$10.09,10.09,10.09
227,20.45,3.0,Male,No,Sat,Dinner,4,$20.45,20.45,20.45
228,13.28,2.72,Male,No,Sat,Dinner,2,$13.28,13.28,13.28
229,22.12,2.88,Female,Yes,Sat,Dinner,2,$22.12,22.12,22.12
230,24.01,2.0,Male,Yes,Sat,Dinner,4,$24.01,24.01,24.01
231,15.69,3.0,Male,Yes,Sat,Dinner,3,$15.69,15.69,15.69
232,11.61,3.39,Male,No,Sat,Dinner,2,$11.61,11.61,11.61
233,10.77,1.47,Male,No,Sat,Dinner,2,$10.77,10.77,10.77
234,15.53,3.0,Male,Yes,Sat,Dinner,2,$15.53,15.53,15.53
235,10.07,1.25,Male,No,Sat,Dinner,2,$10.07,10.07,10.07
236,12.6,1.0,Male,Yes,Sat,Dinner,2,$12.6,12.6,12.6
237,32.83,1.17,Male,Yes,Sat,Dinner,2,$32.83,32.83,32.83
238,35.83,4.67,Female,No,Sat,Dinner,3,$35.83,35.83,35.83
239,29.03,5.92,Male,No,Sat,Dinner,3,$29.03,29.03,29.03
240,27.18,2.0,Female,Yes,Sat,Dinner,2,$27.18,27.18,27.18
241,22.67,2.0,Male,Yes,Sat,Dinner,2,$22.67,22.67,22.67
242,17.82,1.75,Male,No,Sat,Dinner,2,$17.82,17.82,17.82
243,18.78,3.0,Female,No,Thur,Dinner,2,$18.78,18.78,18.78
